country_code,country_name,year,population
IND,India,2024,1450935791
CHN,China,2024,1408975000
USA,United States,2024,340110988
IDN,Indonesia,2024,283487931
PAK,Pakistan,2024,251269164
NGA,Nigeria,2024,232679478
BRA,Brazil,2024,211998573
BGD,Bangladesh,2024,173562364
RUS,Russian Federation,2024,143533851
ETH,Ethiopia,2024,132059767
MEX,Mexico,2024,130861007
JPN,Japan,2024,123975371
EGY,"Egypt, Arab Rep.",2024,116538258
PHL,Philippines,2024,115843670
COD,"Congo, Dem. Rep.",2024,109276265
VNM,Viet Nam,2024,100987686
IRN,"Iran, Islamic Rep.",2024,91567738
TUR,Turkiye,2024,85518661
DEU,Germany,2024,83516593
THA,Thailand,2024,71668011
GBR,United Kingdom,2024,69226000
TZA,Tanzania,2024,68560157
FRA,France,2024,68551653
ZAF,South Africa,2024,64007187
ITA,Italy,2024,58952704
KEN,Kenya,2024,56432944
MMR,Myanmar,2024,54500091
COL,Colombia,2024,52886363
KOR,"Korea, Rep.",2024,51751065
SDN,Sudan,2024,50448963
UGA,Uganda,2024,50015092
ESP,Spain,2024,48848840
DZA,Algeria,2024,46814308
IRQ,Iraq,2024,46042015
ARG,Argentina,2024,45696159
AFG,Afghanistan,2024,42647492
CAN,Canada,2024,41288599
YEM,"Yemen, Rep.",2024,40583164
MAR,Morocco,2024,38081173
AGO,Angola,2024,37885849
UKR,Ukraine,2024,37860221
POL,Poland,2024,36559233
UZB,Uzbekistan,2024,36361859
MYS,Malaysia,2024,35557673
SAU,Saudi Arabia,2024,35300280
MOZ,Mozambique,2024,34631766
GHA,Ghana,2024,34427414
PER,Peru,2024,34217848
MDG,Madagascar,2024,31964956
CIV,Cote d'Ivoire,2024,31934230
NPL,Nepal,2024,29651054
CMR,Cameroon,2024,29123744
VEN,"Venezuela, RB",2024,28405543
AUS,Australia,2024,27196812
NER,Niger,2024,27032412
PRK,"Korea, Dem. People's Rep.",2024,26498823
SYR,Syrian Arab Republic,2024,24672760
MLI,Mali,2024,24478595
BFA,Burkina Faso,2024,23548781
LKA,Sri Lanka,2024,21916000
MWI,Malawi,2024,21655286
ZMB,Zambia,2024,21314956
KAZ,Kazakhstan,2024,20592571
TCD,Chad,2024,20299123
CHL,Chile,2024,19764771
ROU,Romania,2024,19051804
SOM,"Somalia, Fed. Rep.",2024,19009151
SEN,Senegal,2024,18501984
GTM,Guatemala,2024,18406359
ECU,Ecuador,2024,18135478
NLD,Netherlands,2024,17993485
KHM,Cambodia,2024,17638801
ZWE,Zimbabwe,2024,16634373
GIN,Guinea,2024,14754785
BEN,Benin,2024,14462724
RWA,Rwanda,2024,14256567
BDI,Burundi,2024,14047786
BOL,Bolivia,2024,12413315
TUN,Tunisia,2024,12277109
SSD,South Sudan,2024,11943408
BEL,Belgium,2024,11858610
HTI,Haiti,2024,11772557
JOR,Jordan,2024,11552876
DOM,Dominican Republic,2024,11427557
ARE,United Arab Emirates,2024,10986400
CUB,Cuba,2024,10979783
CZE,Czechia,2024,10905028
HND,Honduras,2024,10825703
PRT,Portugal,2024,10694681
TJK,Tajikistan,2024,10590927
PNG,Papua New Guinea,2024,10576502
SWE,Sweden,2024,10569709
GRC,Greece,2024,10405134
AZE,Azerbaijan,2024,10202830
ISR,Israel,2024,9974400
HUN,Hungary,2024,9562065
TGO,Togo,2024,9515236
AUT,Austria,2024,9177982
BLR,Belarus,2024,9132629
CHE,Switzerland,2024,9005582
SLE,Sierra Leone,2024,8642022
LAO,Lao PDR,2024,7769819
HKG,"Hong Kong SAR, China",2024,7524100
TKM,Turkmenistan,2024,7494498
LBY,Libya,2024,7381023
KGZ,Kyrgyz Republic,2024,7221868
PRY,Paraguay,2024,6929153
NIC,Nicaragua,2024,6916140
SRB,Serbia,2024,6586476
BGR,Bulgaria,2024,6441421
SLV,El Salvador,2024,6338193
COG,"Congo, Rep.",2024,6332961
SGP,Singapore,2024,6036860
DNK,Denmark,2024,5976992
LBN,Lebanon,2024,5805962
FIN,Finland,2024,5619911
LBR,Liberia,2024,5612817
NOR,Norway,2024,5572279
SVK,Slovak Republic,2024,5422069
IRL,Ireland,2024,5395790
CAF,Central African Republic,2024,5330690
PSE,West Bank and Gaza,2024,5289152
NZL,New Zealand,2024,5287500
OMN,Oman,2024,5281538
MRT,Mauritania,2024,5169395
CRI,Costa Rica,2024,5129910
KWT,Kuwait,2024,4897263
PAN,Panama,2024,4515577
HRV,Croatia,2024,3866200
GEO,Georgia,2024,3699557
ERI,Eritrea,2024,3535603
MNG,Mongolia,2024,3524788
URY,Uruguay,2024,3386588
PRI,Puerto Rico (US),2024,3203295
BIH,Bosnia and Herzegovina,2024,3164253
ARM,Armenia,2024,3033500
NAM,Namibia,2024,3030131
LTU,Lithuania,2024,2888278
QAT,Qatar,2024,2857822
JAM,Jamaica,2024,2839175
GMB,"Gambia, The",2024,2759988
GAB,Gabon,2024,2538952
BWA,Botswana,2024,2521139
MDA,Moldova,2024,2402306
ALB,Albania,2024,2377128
LSO,Lesotho,2024,2337423
GNB,Guinea-Bissau,2024,2201352
SVN,Slovenia,2024,2127400
GNQ,Equatorial Guinea,2024,1892516
LVA,Latvia,2024,1866124
MKD,North Macedonia,2024,1824359
XKX,Kosovo,2024,1594353
BHR,Bahrain,2024,1588670
TLS,Timor-Leste,2024,1400638
EST,Estonia,2024,1372341
TTO,Trinidad and Tobago,2024,1368333
CYP,Cyprus,2024,1358282
MUS,Mauritius,2024,1245779
SWZ,Eswatini,2024,1242822
DJI,Djibouti,2024,1168722
FJI,Fiji,2024,928784
COM,Comoros,2024,866628
GUY,Guyana,2024,831087
SLB,Solomon Islands,2024,819198
BTN,Bhutan,2024,791524
MAC,"Macao SAR, China",2024,687000
LUX,Luxembourg,2024,677012
SUR,Suriname,2024,634431
MNE,Montenegro,2024,623525
MLT,Malta,2024,568847
MDV,Maldives,2024,527799
CPV,Cabo Verde,2024,524877
BRN,Brunei Darussalam,2024,462721
BLZ,Belize,2024,417072
BHS,"Bahamas, The",2024,401283
ISL,Iceland,2024,386506
VUT,Vanuatu,2024,327777
NCL,New Caledonia,2024,292639
BRB,Barbados,2024,282467
PYF,French Polynesia,2024,281807
STP,Sao Tome and Principe,2024,235536
WSM,Samoa,2024,218019
LCA,St. Lucia,2024,179744
CHI,Channel Islands,2024,168126
GUM,Guam,2024,167777
CUW,Curacao,2024,155967
KIR,Kiribati,2024,134518
SYC,Seychelles,2024,121354
GRD,Grenada,2024,117207
FSM,"Micronesia, Fed. Sts.",2024,113160
ABW,Aruba,2024,107995
VIR,Virgin Islands (U.S.),2024,104377
TON,Tonga,2024,104175
VCT,St. Vincent and the Grenadines,2024,100616
ATG,Antigua and Barbuda,2024,93772
IMN,Isle of Man,2024,84160
AND,Andorra,2024,81938
CYM,Cayman Islands,2024,74457
DMA,Dominica,2024,66205
BMU,Bermuda,2024,64636
GRL,Greenland,2024,56836
FRO,Faroe Islands,2024,54681
KNA,St. Kitts and Nevis,2024,46843
ASM,American Samoa,2024,46765
TCA,Turks and Caicos Islands,2024,46535
MNP,Northern Mariana Islands,2024,44278
SXM,Sint Maarten (Dutch part),2024,43350
LIE,Liechtenstein,2024,40450
VGB,British Virgin Islands,2024,39471
GIB,Gibraltar,2024,39329
MCO,Monaco,2024,38631
MHL,Marshall Islands,2024,37548
SMR,San Marino,2024,33977
MAF,St. Martin (French part),2024,26129
PLW,Palau,2024,17695
NRU,Nauru,2024,11947
TUV,Tuvalu,2024,9646
