country_code,year,gdp_per_capita,country_name
AUS,2000,28383.758256,Australia
AUS,2001,29598.855133,Australia
AUS,2002,30874.6635,Australia
AUS,2003,32455.802496,Australia
AUS,2004,34073.725779,Australia
AUS,2005,35744.901831,Australia
AUS,2006,38017.435478,Australia
AUS,2007,39775.93811,Australia
AUS,2008,40265.695798,Australia
AUS,2009,41809.667046,Australia
AUS,2010,42957.875627,Australia
AUS,2011,44606.453212,Australia
AUS,2012,44090.917262,Australia
AUS,2013,47993.815498,Australia
AUS,2014,47826.208476,Australia
AUS,2015,47423.450756,Australia
AUS,2016,50303.970339,Australia
AUS,2017,50883.026163,Australia
AUS,2018,53266.016756,Australia
AUS,2019,53800.656575,Australia
AUS,2020,56963.307721,Australia
AUS,2021,65186.007703,Australia
AUS,2022,72907.242337,Australia
AUS,2023,75181.869963,Australia
AUS,2024,74778.131699,Australia
AUT,2000,29220.983881,Austria
AUT,2001,29553.244532,Austria
AUT,2002,30951.59869,Austria
AUT,2003,31971.249619,Austria
AUT,2004,33528.78191,Austria
AUT,2005,34787.456837,Austria
AUT,2006,37391.103461,Austria
AUT,2007,39193.789618,Austria
AUT,2008,41046.495054,Austria
AUT,2009,40695.706319,Austria
AUT,2010,41747.191275,Austria
AUT,2011,44187.866099,Austria
AUT,2012,46176.644612,Austria
AUT,2013,47534.19572,Austria
AUT,2014,48368.953154,Austria
AUT,2015,49625.117401,Austria
AUT,2016,52379.02475,Austria
AUT,2017,53884.923911,Austria
AUT,2018,56654.552532,Austria
AUT,2019,60370.464416,Austria
AUT,2020,58522.842298,Austria
AUT,2021,62998.849713,Austria
AUT,2022,72198.693654,Austria
AUT,2023,74269.587905,Austria
AUT,2024,75775.015047,Austria
BEL,2000,27794.178511,Belgium
BEL,2001,28793.44226,Belgium
BEL,2002,30282.254116,Belgium
BEL,2003,30930.733412,Belgium
BEL,2004,32059.811471,Belgium
BEL,2005,33177.947339,Belgium
BEL,2006,35251.307931,Belgium
BEL,2007,36798.208635,Belgium
BEL,2008,37883.233422,Belgium
BEL,2009,37905.636814,Belgium
BEL,2010,39839.926324,Belgium
BEL,2011,41244.706461,Belgium
BEL,2012,42483.621887,Belgium
BEL,2013,43864.147826,Belgium
BEL,2014,45147.489111,Belgium
BEL,2015,46071.876832,Belgium
BEL,2016,48414.638613,Belgium
BEL,2017,50255.854035,Belgium
BEL,2018,52466.553021,Belgium
BEL,2019,56712.355972,Belgium
BEL,2020,56119.616238,Belgium
BEL,2021,60668.644835,Belgium
BEL,2022,68833.732098,Belgium
BEL,2023,72690.78942,Belgium
BEL,2024,74319.393227,Belgium
CAN,2000,29348.004024,Canada
CAN,2001,30241.254292,Canada
CAN,2002,30964.090895,Canada
CAN,2003,32350.022187,Canada
CAN,2004,33929.459134,Canada
CAN,2005,36328.812413,Canada
CAN,2006,38123.399534,Canada
CAN,2007,39572.940444,Canada
CAN,2008,40376.111571,Canada
CAN,2009,38863.259385,Canada
CAN,2010,40103.172318,Canada
CAN,2011,41666.848683,Canada
CAN,2012,42291.886605,Canada
CAN,2013,44300.991977,Canada
CAN,2014,45758.133114,Canada
CAN,2015,44668.065118,Canada
CAN,2016,46470.675161,Canada
CAN,2017,48317.404026,Canada
CAN,2018,49982.649045,Canada
CAN,2019,50498.963113,Canada
CAN,2020,48590.716417,Canada
CAN,2021,56995.206995,Canada
CAN,2022,64217.184872,Canada
CAN,2023,64962.191146,Canada
CAN,2024,65482.971712,Canada
CHE,2000,36754.412742,Switzerland
CHE,2001,37986.996002,Switzerland
CHE,2002,38985.523549,Switzerland
CHE,2003,38925.572654,Switzerland
CHE,2004,40389.426569,Switzerland
CHE,2005,41858.571444,Switzerland
CHE,2006,46666.205331,Switzerland
CHE,2007,51440.467063,Switzerland
CHE,2008,54199.305778,Switzerland
CHE,2009,53629.434642,Switzerland
CHE,2010,55345.278404,Switzerland
CHE,2011,58426.596007,Switzerland
CHE,2012,60440.858403,Switzerland
CHE,2013,62750.41153,Switzerland
CHE,2014,64694.919108,Switzerland
CHE,2015,66359.720834,Switzerland
CHE,2016,68350.738713,Switzerland
CHE,2017,69271.922067,Switzerland
CHE,2018,72135.594132,Switzerland
CHE,2019,75229.392615,Switzerland
CHE,2020,74331.495449,Switzerland
CHE,2021,83489.774787,Switzerland
CHE,2022,94573.219486,Switzerland
CHE,2023,93660.927898,Switzerland
CHE,2024,97357.187908,Switzerland
DEU,2000,27728.148898,Germany
DEU,2001,28967.139925,Germany
DEU,2002,29843.073411,Germany
DEU,2003,30667.456929,Germany
DEU,2004,32166.474119,Germany
DEU,2005,32763.616327,Germany
DEU,2006,35256.416836,Germany
DEU,2007,37494.809238,Germany
DEU,2008,39078.248689,Germany
DEU,2009,38222.823256,Germany
DEU,2010,40452.445425,Germany
DEU,2011,43384.111667,Germany
DEU,2012,44234.495586,Germany
DEU,2013,45949.484517,Germany
DEU,2014,48060.809841,Germany
DEU,2015,48770.474333,Germany
DEU,2016,51858.712082,Germany
DEU,2017,54551.287282,Germany
DEU,2018,56833.938216,Germany
DEU,2019,59953.085922,Germany
DEU,2020,59444.321161,Germany
DEU,2021,63548.21742,Germany
DEU,2022,70217.397604,Germany
DEU,2023,72262.483672,Germany
DEU,2024,73956.620229,Germany
DNK,2000,28653.864179,Denmark
DNK,2001,29467.225097,Denmark
DNK,2002,30668.62901,Denmark
DNK,2003,30870.142351,Denmark
DNK,2004,33024.614235,Denmark
DNK,2005,34243.837824,Denmark
DNK,2006,37395.870616,Denmark
DNK,2007,39117.535909,Denmark
DNK,2008,41474.145014,Denmark
DNK,2009,40528.031213,Denmark
DNK,2010,43040.083042,Denmark
DNK,2011,44446.57809,Denmark
DNK,2012,44761.579789,Denmark
DNK,2013,46883.131074,Denmark
DNK,2014,47880.687634,Denmark
DNK,2015,48906.109829,Denmark
DNK,2016,51814.23663,Denmark
DNK,2017,55270.419717,Denmark
DNK,2018,57231.330513,Denmark
DNK,2019,60568.735529,Denmark
DNK,2020,62700.581101,Denmark
DNK,2021,69355.383418,Denmark
DNK,2022,78509.588131,Denmark
DNK,2023,77411.908528,Denmark
DNK,2024,80940.317366,Denmark
FIN,2000,26782.894928,Finland
FIN,2001,27798.106073,Finland
FIN,2002,28596.26124,Finland
FIN,2003,29042.780808,Finland
FIN,2004,31194.947331,Finland
FIN,2005,32047.675821,Finland
FIN,2006,34440.160351,Finland
FIN,2007,37843.065611,Finland
FIN,2008,40081.225921,Finland
FIN,2009,37988.229444,Finland
FIN,2010,38945.876126,Finland
FIN,2011,40845.76575,Finland
FIN,2012,40738.873438,Finland
FIN,2013,41325.582876,Finland
FIN,2014,41539.598953,Finland
FIN,2015,42250.407743,Finland
FIN,2016,44562.440813,Finland
FIN,2017,47234.988667,Finland
FIN,2018,49242.642829,Finland
FIN,2019,52276.174135,Finland
FIN,2020,53285.422279,Finland
FIN,2021,56785.46129,Finland
FIN,2022,62124.235911,Finland
FIN,2023,63540.903879,Finland
FIN,2024,65125.726649,Finland
FRA,2000,26081.366244,France
FRA,2001,27427.457992,France
FRA,2002,28436.646146,France
FRA,2003,28113.007406,France
FRA,2004,29016.842034,France
FRA,2005,30536.043829,France
FRA,2006,32540.301896,France
FRA,2007,34195.447103,France
FRA,2008,35192.163357,France
FRA,2009,34827.880811,France
FRA,2010,36061.853652,France
FRA,2011,37675.170698,France
FRA,2012,37841.445959,France
FRA,2013,39772.553683,France
FRA,2014,40395.427694,France
FRA,2015,41049.660974,France
FRA,2016,42984.007884,France
FRA,2017,44527.741486,France
FRA,2018,46397.189077,France
FRA,2019,51119.874507,France
FRA,2020,49462.885531,France
FRA,2021,52442.948742,France
FRA,2022,57001.58454,France
FRA,2023,60927.2735,France
FRA,2024,62524.223344,France
GBR,2000,26635.052661,United Kingdom
GBR,2001,28023.048238,United Kingdom
GBR,2002,29169.571591,United Kingdom
GBR,2003,30419.484628,United Kingdom
GBR,2004,32180.71564,United Kingdom
GBR,2005,32825.008224,United Kingdom
GBR,2006,34881.323244,United Kingdom
GBR,2007,35687.101533,United Kingdom
GBR,2008,36933.3105,United Kingdom
GBR,2009,35290.105243,United Kingdom
GBR,2010,36652.553618,United Kingdom
GBR,2011,37373.577722,United Kingdom
GBR,2012,38515.412125,United Kingdom
GBR,2013,40121.085343,United Kingdom
GBR,2014,41545.600545,United Kingdom
GBR,2015,42772.494118,United Kingdom
GBR,2016,44376.08951,United Kingdom
GBR,2017,46440.825824,United Kingdom
GBR,2018,47635.981528,United Kingdom
GBR,2019,50493.943285,United Kingdom
GBR,2020,48719.868734,United Kingdom
GBR,2021,51840.442735,United Kingdom
GBR,2022,60266.755204,United Kingdom
GBR,2023,60786.757516,United Kingdom
GBR,2024,62872.45029,United Kingdom
IRL,2000,30223.250283,Ireland
IRL,2001,32594.090766,Ireland
IRL,2002,35222.905858,Ireland
IRL,2003,36276.193559,Ireland
IRL,2004,38757.029959,Ireland
IRL,2005,40465.316509,Ireland
IRL,2006,44261.687182,Ireland
IRL,2007,46769.181188,Ireland
IRL,2008,44105.364476,Ireland
IRL,2009,41456.889775,Ireland
IRL,2010,43166.640129,Ireland
IRL,2011,45472.828342,Ireland
IRL,2012,46675.666556,Ireland
IRL,2013,48802.857953,Ireland
IRL,2014,52641.875992,Ireland
IRL,2015,71613.752748,Ireland
IRL,2016,73098.194206,Ireland
IRL,2017,80515.57596,Ireland
IRL,2018,86503.413876,Ireland
IRL,2019,92208.857145,Ireland
IRL,2020,97780.593872,Ireland
IRL,2021,117132.317548,Ireland
IRL,2022,138813.309222,Ireland
IRL,2023,133835.291719,Ireland
IRL,2024,141061.484405,Ireland
ISR,2000,25153.665092,Israel
ISR,2001,25173.740225,Israel
ISR,2002,25477.926343,Israel
ISR,2003,24244.022525,Israel
ISR,2004,25628.949233,Israel
ISR,2005,25291.881307,Israel
ISR,2006,25911.442347,Israel
ISR,2007,27736.439916,Israel
ISR,2008,27399.45807,Israel
ISR,2009,27563.280653,Israel
ISR,2010,28897.138096,Israel
ISR,2011,30663.904461,Israel
ISR,2012,31756.313003,Israel
ISR,2013,34081.643991,Israel
ISR,2014,34085.398943,Israel
ISR,2015,35155.725892,Israel
ISR,2016,37452.784252,Israel
ISR,2017,38745.556653,Israel
ISR,2018,39534.036479,Israel
ISR,2019,40644.646909,Israel
ISR,2020,40486.079489,Israel
ISR,2021,45628.709897,Israel
ISR,2022,53077.046092,Israel
ISR,2023,55322.881403,Israel
ISR,2024,57453.175,Israel
ITA,2000,27152.142319,Italy
ITA,2001,28132.672248,Italy
ITA,2002,28833.032966,Italy
ITA,2003,29249.176509,Italy
ITA,2004,29580.815906,Italy
ITA,2005,30137.81213,Italy
ITA,2006,32453.612053,Italy
ITA,2007,34107.552548,Italy
ITA,2008,35422.320586,Italy
ITA,2009,34501.666695,Italy
ITA,2010,34974.091511,Italy
ITA,2011,36392.307585,Italy
ITA,2012,36281.118449,Italy
ITA,2013,36459.286713,Italy
ITA,2014,36665.709207,Italy
ITA,2015,37384.405169,Italy
ITA,2016,40482.591491,Italy
ITA,2017,42142.314165,Italy
ITA,2018,43583.419042,Italy
ITA,2019,46661.895024,Italy
ITA,2020,44435.606105,Italy
ITA,2021,49825.333453,Italy
ITA,2022,57260.873654,Italy
ITA,2023,60349.695219,Italy
ITA,2024,62288.092896,Italy
JPN,2000,27290.561087,Japan
JPN,2001,27946.478537,Japan
JPN,2002,28633.69892,Japan
JPN,2003,29411.047896,Japan
JPN,2004,30838.024929,Japan
JPN,2005,32174.400107,Japan
JPN,2006,33636.016912,Japan
JPN,2007,35021.073976,Japan
JPN,2008,35278.749846,Japan
JPN,2009,33546.825723,Japan
JPN,2010,35343.459267,Japan
JPN,2011,36215.006272,Japan
JPN,2012,37628.675989,Japan
JPN,2013,39436.682585,Japan
JPN,2014,39559.763471,Japan
JPN,2015,40908.781547,Japan
JPN,2016,40642.704531,Japan
JPN,2017,41531.221619,Japan
JPN,2018,42264.585123,Japan
JPN,2019,42835.817421,Japan
JPN,2020,42612.193392,Japan
JPN,2021,44418.821115,Japan
JPN,2022,47259.275965,Japan
JPN,2023,50728.845684,Japan
JPN,2024,52129.995115,Japan
KOR,2000,19236.954257,South Korea
KOR,2001,20442.285063,South Korea
KOR,2002,22173.365313,South Korea
KOR,2003,22919.89965,South Korea
KOR,2004,24657.929438,South Korea
KOR,2005,26179.10362,South Korea
KOR,2006,27972.553371,South Korea
KOR,2007,30255.166055,South Korea
KOR,2008,31210.873543,South Korea
